NU_INSCRICAO,Q001,Q002,Q005,Q006,Q007
210057832251,C,E,5,B,A
210055567572,E,C,2,B,A
210055548851,C,G,4,H,A
210055740114,A,E,5,B,A
210057347165,C,C,3,G,A
210056926489,A,C,2,B,A
210055524164,B,B,4,C,A
210055500145,G,G,4,I,A
210055439694,E,E,4,C,A
210056595963,B,B,4,B,A
210055736760,E,E,5,C,A
210055755813,E,E,5,C,A
210055553715,B,A,2,B,A
210057490441,B,E,4,C,A
210056586202,E,C,3,B,A
210057260186,E,C,2,D,A
210057950207,B,B,1,B,A
210057155118,E,E,4,E,A
210054836744,B,C,3,F,A
210055780434,D,D,6,B,A
210057392018,E,E,5,C,A
210055660626,B,C,3,B,A
210055440923,B,B,3,B,A
210055587578,D,B,3,B,A
210054613189,E,E,1,B,A
210055365509,F,F,5,K,A
210055499884,D,G,4,G,A
210056624572,B,B,4,F,A
210057750051,H,E,4,D,A
210057876894,D,D,2,C,A
210055659687,D,F,3,B,A
210055786221,E,E,2,C,A
210057127753,E,E,3,E,A
210057796080,D,C,4,C,A
210057829383,A,A,2,B,A
210055266589,H,D,4,B,A
210055685609,C,C,2,F,A
210057937593,H,B,2,B,A
210055730495,B,E,5,B,A
210055570285,B,B,6,J,A
210055702087,H,H,6,C,A
210056920893,B,C,4,B,A
210054537193,B,B,3,B,A
210056544945,E,E,4,G,A
210057973156,A,A,3,A,A
210055742525,B,B,5,B,A
210055869498,D,C,2,C,A
210055704068,H,H,7,B,A
210055613083,B,C,4,B,A
210057363523,G,E,4,G,A
210057932532,B,B,4,G,A
210057344814,B,E,4,D,A
210057047639,E,H,2,B,A
210055604690,C,C,4,D,A
210056321639,B,B,1,B,A
210055553374,B,B,2,C,A
210056565880,C,A,3,A,A
210055580426,C,C,2,C,A
210056238058,H,E,3,B,A
210056588776,B,B,6,A,A
210055563819,D,D,3,C,A
210054789831,C,C,4,K,A
210055617621,D,F,3,D,A
210057540618,C,D,4,C,A
210055428319,G,C,3,J,A
210057560382,B,E,5,B,A
210057386879,B,D,5,D,A
210055323433,E,E,4,J,A
210055552155,D,E,3,C,A
210055595850,B,B,1,B,A
210057934080,E,E,5,B,A
210057310501,C,E,3,D,A
210055770868,B,E,6,D,A
210055542666,C,C,3,D,A
210056960035,D,C,4,B,A
210055104750,C,B,1,A,A
210055123876,C,C,4,B,A
210057829237,E,E,3,B,A
210055343067,H,E,5,B,A
210057846616,B,C,5,B,A
210057540305,B,E,2,B,A
210055758952,E,E,3,B,A
210056907359,D,B,3,B,A
210055780746,C,E,4,D,A
210055255661,C,E,6,D,A
210055343066,H,E,5,B,A
210057839909,B,B,3,C,A
210057829069,H,E,3,E,A
210055647666,B,B,6,B,A
210056921231,C,E,3,C,A
210055946421,A,D,4,B,A
210054575011,B,D,4,B,A
210056738334,C,C,2,G,A
210055178422,C,D,4,B,A
210057794653,E,B,3,B,A
210056846835,F,F,1,B,A
210057336640,C,G,4,D,A
210056622562,H,B,5,C,A
210054545885,B,D,4,F,A
210056489900,C,D,4,E,A
210057818184,B,B,2,B,A
210055096319,E,B,3,B,A
210057780115,H,E,2,D,A
210055296901,A,B,1,A,A
210057494635,E,D,4,D,A
210056246054,C,D,4,B,D
210057376824,H,E,6,B,A
210056271899,E,E,4,E,A
210054555605,C,E,2,B,A
210057803524,B,D,3,B,A
210055289488,H,E,3,C,A
210057814872,D,F,6,E,A
210055568604,D,B,2,C,A
210055707791,H,F,2,E,A
210057156741,C,E,4,B,A
210057934494,E,E,3,B,A
210057705322,F,G,1,B,A
210055806977,H,D,3,B,A
210055473203,B,E,1,A,A
210056237246,E,E,3,B,A
210056184817,C,B,4,C,A
210054557574,C,E,4,H,A
210055735216,B,B,3,C,A
210056687050,B,B,5,E,A
210056944516,C,H,4,E,A
210057830775,B,B,1,B,A
210056570684,B,B,1,C,A
210057245374,G,E,4,K,A
210057599877,F,E,4,H,A
210055171866,B,B,2,E,A
210055694607,E,E,4,D,A
210054982849,H,H,3,C,A
210055673153,B,E,3,C,A
210056708381,E,G,2,F,A
210057709394,B,C,1,C,A
210055567033,C,C,3,C,A
210054517915,H,B,3,B,A
210057829980,F,E,5,E,A
210056310766,B,A,1,B,A
210057155744,E,E,3,E,A
210056341584,B,C,1,A,A
210056444172,B,C,1,B,A
210055681132,E,E,4,A,A
210055499885,D,C,3,B,C
210055542675,D,E,3,D,A
210056483730,C,C,5,C,A
210057323619,H,G,4,C,A
210056405087,B,B,3,E,A
210056899102,H,B,5,D,A
210055747937,C,E,3,B,A
210055337179,B,B,3,D,A
210057578529,E,E,2,B,A
210055118771,B,C,5,B,C
210056363275,H,H,6,B,A
210056791078,H,H,3,B,A
210055503992,E,C,3,B,A
210055252321,C,G,2,I,A
210056616447,H,B,7,B,A
210056428318,H,E,7,B,A
210057353649,H,E,2,B,A
210055762352,C,D,5,D,A
210057788434,F,E,3,I,A
210055260895,H,H,2,A,A
210055603801,E,E,3,D,A
210055639417,B,D,4,B,A
210056463224,A,C,3,C,A
210057973599,E,D,3,D,A
210057631281,B,B,4,C,A
210056918330,E,E,4,C,A
210055606215,H,F,3,C,A
210055454914,B,E,3,D,A
210054568481,C,B,3,B,A
210055618970,C,C,4,D,A
210057372168,B,E,4,B,A
210055573237,A,A,1,B,A
210054538701,D,C,4,C,A
210054836886,B,E,3,F,A
210055736578,C,E,7,E,A
210055673613,B,E,4,B,A
210057492635,H,E,1,C,A
210057094860,B,E,3,B,A
210057808404,C,E,3,B,A
210057793794,D,C,5,B,A
210054780066,F,E,2,B,A
210057315212,B,B,2,B,A
